Date,Open,High,Low,Close,Effective Date,Bank Rate,Repo,Reverse Repo,Standing Deposit Facility (SDF) Rate,Marginal Standing Facility (MSF) Rate,Cash Reserve Ratio (CRR),Statutory Liquidity Ratio (SLR)
2000-04-03,Not Available,Not Available,Not Available,1110.14,2000-04-02,7.00,Not Available,Not Available,Not Available,Not Available,9,25.00
2000-04-04,Not Available,Not Available,Not Available,1026.65,2000-04-02,7.00,Not Available,Not Available,Not Available,Not Available,9,25.00
2000-04-05,Not Available,Not Available,Not Available,1000.84,2000-04-02,7.00,Not Available,Not Available,Not Available,Not Available,9,25.00
2000-04-06,Not Available,Not Available,Not Available,989.2,2000-04-02,7.00,Not Available,Not Available,Not Available,Not Available,9,25.00
2000-04-07,Not Available,Not Available,Not Available,1048.75,2000-04-02,7.00,Not Available,Not Available,Not Available,Not Available,9,25.00
2000-04-10,Not Available,Not Available,Not Available,1087.71,2000-04-08,7.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-04-11,Not Available,Not Available,Not Available,1105.19,2000-04-08,7.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-04-12,Not Available,Not Available,Not Available,1097.08,2000-04-08,7.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-04-13,Not Available,Not Available,Not Available,1056.89,2000-04-08,7.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-04-17,Not Available,Not Available,Not Available,1003.89,2000-04-08,7.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-04-18,Not Available,Not Available,Not Available,1031.28,2000-04-08,7.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-04-19,Not Available,Not Available,Not Available,1029.46,2000-04-08,7.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-04-20,Not Available,Not Available,Not Available,1026.09,2000-04-08,7.00,Not Available,Not Available,Not Available,Not Available,8.5,25.00
2000-04-24,Not Available,Not Available,Not Available,1009.29,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-04-25,Not Available,Not Available,Not Available,1015.7,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-04-26,Not Available,Not Available,Not Available,1067.57,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-04-27,Not Available,Not Available,Not Available,1050.72,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-04-28,Not Available,Not Available,Not Available,1056.2,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-02,Not Available,Not Available,Not Available,1021.98,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-03,Not Available,Not Available,Not Available,1020.9,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-04,Not Available,Not Available,Not Available,1030.91,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-05,Not Available,Not Available,Not Available,1040.91,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-08,Not Available,Not Available,Not Available,1031.09,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-09,Not Available,Not Available,Not Available,1032.5,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-10,Not Available,Not Available,Not Available,1027.99,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-11,Not Available,Not Available,Not Available,1012.45,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-12,Not Available,Not Available,Not Available,995.67,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
2000-05-15,Not Available,Not Available,Not Available,993.35,2000-04-22,7.00,Not Available,Not Available,Not Available,Not Available,8,25.00
